occurrenceID,countryCode,country,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,numberOfRoadkill,year,month,day,roadID,roadType,surveyType,roadLength,initialRoadLatitude,initialRoadLongitude,finalRoadLatitude,finalRoadLongitude,surveyPeriod,startYear,finalYear,firstMonthOfTheYear,lastMonthOfTheYear,surveyFrequency,associatedReferences
e22daf74-30fc-46b0-a906-e192630220a5,BR,Brazil,Ribas do Rio Pardo,-20.4402,-53.8255,WGS84,30,Tapirus terrestris,1,2018,8,31,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
baacfded-cec3-4cb2-97d2-68cbb16f47ab,BR,Brazil,Ribas do Rio Pardo,-20.4404,-53.2734,WGS84,30,Tapirus terrestris,1,2018,1,4,BR262,paved (1 lane),Opportunistic,,,,,,,,,,,,
55c82081-5fd5-4046-94d9-f84babdb4df2,BR,Brazil,Terenos,-20.4407,-55.1173,WGS84,30,Tapirus terrestris,1,2017,7,3,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
dced438d-7f3b-4f1b-99ad-20b06e761d0c,BR,Brazil,Ribas do Rio Pardo,-20.4409,-53.2752,WGS84,30,Tapirus terrestris,1,2019,2,14,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
23ae9641-c95d-4257-b4a5-021454bfa54d,BR,Brazil,Terenos,-20.4455,-55.1403,WGS84,30,Tapirus terrestris,1,2018,1,4,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
88de5baf-2f10-4fd2-9786-61304d15174b,BR,Brazil,Ribas do Rio Pardo,-20.447,-53.3064,WGS84,30,Tapirus terrestris,1,2018,11,20,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
bcf7e217-4ba8-476e-89e4-d0894896a594,BR,Brazil,Ribas do Rio Pardo,-20.447,-53.3064,WGS84,30,Tapirus terrestris,1,2018,12,3,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
5b1d73f9-bbd6-457d-a71d-be1cbf1379a4,BR,Brazil,Terenos,-20.4483,-55.1533,WGS84,30,Tapirus terrestris,1,2018,12,17,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
79f1d5fb-9533-48b9-b2eb-f93b0bf55261,BR,Brazil,Terenos,-20.4485,-55.1546,WGS84,30,Tapirus terrestris,1,2017,4,10,BR262,paved (1 lane),Systematic,339,-20.477907,-54.751757,-19.520655,-57.420473,1108,2017,2020,2,3,2/month,Ascensao et al. 2021
4c6ae8a1-03c0-4319-a7ae-1dde8482e0fc,BR,Brazil,Ribas do Rio Pardo,-20.4489,-53.0419,WGS84,30,Tapirus terrestris,1,2017,2,6,BR262,paved (1 lane),Systematic,182,-20.464222,-54.553849,-20.443631,-52.89627,1089,2017,2020,2,2,2/month,Ascensao et al. 2021
