hour,Biome,individual_local_identifier,count,individual_name
2.0,Pantanal,PA_05_KELLY,2.0,KELLY
2.0,Pantanal,PA_08_BENJAMIN,2.0,BENJAMIN
2.0,Pantanal,PA_09_SONIAMADALENA,2.0,SONIAMADALENA
2.0,Pantanal,PA_10_VIVEK,2.0,VIVEK
2.0,Pantanal,PA_11_LUIS,2.0,LUIS
2.0,Pantanal,PA_12_FELIPPE,2.0,FELIPPE
2.0,Pantanal,PA_13_RITA,2.0,RITA
2.0,Pantanal,PA_15_MORENA,2.0,MORENA
2.0,Pantanal,PA_16_DORA,2.0,DORA
2.0,Pantanal,PA_18_NIC,2.0,NIC
2.0,Pantanal,PA_19_SERGIAO,2.0,SERGIAO
2.0,Pantanal,PA_20_SY,2.0,SY
2.0,Pantanal,PA_21_CAIO,2.0,CAIO
2.0,Pantanal,PA_22_EMILIO,2.0,EMILIO
2.0,Pantanal,PA_23_RICK,2.0,RICK
2.0,Pantanal,PA_24_LESLIE,2.0,LESLIE
2.0,Pantanal,PA_26_SACHIN,2.0,SACHIN
2.0,Pantanal,PA_28_DUDA,2.0,DUDA
2.0,Pantanal,PA_29_KARIN,2.0,KARIN
2.0,Pantanal,PA_30_NELSAO,2.0,NELSAO
2.0,Pantanal,PA_31_JORDANO,2.0,JORDANO
2.0,Pantanal,PA_33_GABRIELA,2.0,GABRIELA
2.0,Pantanal,PA_34_CARIJO,2.0,CARIJO
2.0,Pantanal,PA_36_MICHELE,2.0,MICHELE
2.0,Pantanal,PA_38_CASSANDRA,2.0,CASSANDRA
2.0,Pantanal,PA_40_MALU,2.0,MALU
2.0,Pantanal,PA_47_MORENINHO,2.0,MORENINHO
2.0,Pantanal,PA_48_TED,2.0,TED
2.0,Pantanal,PA_49_WALLY,2.0,WALLY
2.0,Pantanal,PA_51_MUCCI,2.0,MUCCI
2.0,Pantanal,PA_52_WIE,2.0,WIE
2.0,Pantanal,PA_54_PAULONA,2.0,PAULONA
2.0,Pantanal,PA_58_LIANA,2.0,LIANA
2.0,Pantanal,PA_59_POPEYE,2.0,POPEYE
2.0,Pantanal,PA_61_DOINHO,2.0,DOINHO
2.0,Pantanal,PA_62_PRETINHO,2.0,PRETINHO
2.0,Pantanal,PA_64_COLUMBUS,2.0,COLUMBUS
2.0,Pantanal,PA_65_VALENTINA,2.0,VALENTINA
2.0,Pantanal,PA_67_CARMINHA,2.0,CARMINHA
