individual_local_identifier,Biome,hour,count,unique_days,average,individual_name
PA_16_DORA,Pantanal,4.0,28,28,1.0,DORA
PA_16_DORA,Pantanal,5.0,23,21,1.0952380952380953,DORA
PA_16_DORA,Pantanal,6.0,15,15,1.0,DORA
PA_16_DORA,Pantanal,7.0,13,13,1.0,DORA
PA_16_DORA,Pantanal,8.0,22,22,1.0,DORA
PA_16_DORA,Pantanal,9.0,10,10,1.0,DORA
PA_16_DORA,Pantanal,10.0,4,4,1.0,DORA
PA_16_DORA,Pantanal,14.0,1,1,1.0,DORA
PA_16_DORA,Pantanal,15.0,1,1,1.0,DORA
PA_16_DORA,Pantanal,16.0,3,3,1.0,DORA
PA_16_DORA,Pantanal,17.0,11,11,1.0,DORA
PA_16_DORA,Pantanal,18.0,42,41,1.024390243902439,DORA
PA_16_DORA,Pantanal,19.0,35,35,1.0,DORA
PA_16_DORA,Pantanal,20.0,35,33,1.0606060606060606,DORA
PA_16_DORA,Pantanal,21.0,29,29,1.0,DORA
PA_16_DORA,Pantanal,22.0,12,11,1.0909090909090908,DORA
PA_16_DORA,Pantanal,23.0,22,19,1.1578947368421053,DORA
PA_18_NIC,Pantanal,0.0,12,12,1.0,NIC
PA_18_NIC,Pantanal,1.0,12,11,1.0909090909090908,NIC
PA_18_NIC,Pantanal,2.0,15,15,1.0,NIC
PA_18_NIC,Pantanal,3.0,13,12,1.0833333333333333,NIC
PA_18_NIC,Pantanal,4.0,22,22,1.0,NIC
PA_18_NIC,Pantanal,5.0,20,20,1.0,NIC
PA_18_NIC,Pantanal,6.0,14,12,1.1666666666666667,NIC
PA_18_NIC,Pantanal,7.0,18,18,1.0,NIC
PA_18_NIC,Pantanal,8.0,15,15,1.0,NIC
PA_18_NIC,Pantanal,9.0,7,7,1.0,NIC
PA_18_NIC,Pantanal,10.0,2,2,1.0,NIC
PA_18_NIC,Pantanal,17.0,5,5,1.0,NIC
PA_18_NIC,Pantanal,18.0,40,40,1.0,NIC
PA_18_NIC,Pantanal,19.0,30,28,1.0714285714285714,NIC
PA_18_NIC,Pantanal,20.0,24,21,1.1428571428571428,NIC
PA_18_NIC,Pantanal,21.0,7,7,1.0,NIC
PA_18_NIC,Pantanal,22.0,16,12,1.3333333333333333,NIC
PA_18_NIC,Pantanal,23.0,13,13,1.0,NIC
PA_19_SERGIAO,Pantanal,0.0,536,536,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,1.0,540,540,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,2.0,538,538,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,3.0,547,547,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,4.0,553,553,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,5.0,524,524,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,6.0,486,486,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,7.0,469,469,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,8.0,472,472,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,9.0,497,497,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,10.0,493,493,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,11.0,495,495,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,12.0,492,492,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,13.0,479,479,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,14.0,472,472,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,15.0,467,467,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,16.0,459,459,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,17.0,462,462,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,18.0,504,504,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,19.0,549,549,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,20.0,544,544,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,21.0,536,536,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,22.0,530,530,1.0,SERGIAO
PA_19_SERGIAO,Pantanal,23.0,537,537,1.0,SERGIAO
PA_20_SY,Pantanal,0.0,57,57,1.0,SY
PA_20_SY,Pantanal,1.0,54,54,1.0,SY
PA_20_SY,Pantanal,2.0,54,54,1.0,SY
PA_20_SY,Pantanal,3.0,56,56,1.0,SY
PA_20_SY,Pantanal,4.0,56,56,1.0,SY
PA_20_SY,Pantanal,5.0,54,54,1.0,SY
PA_20_SY,Pantanal,6.0,51,51,1.0,SY
PA_20_SY,Pantanal,7.0,53,53,1.0,SY
PA_20_SY,Pantanal,8.0,56,56,1.0,SY
PA_20_SY,Pantanal,9.0,50,50,1.0,SY
PA_20_SY,Pantanal,10.0,52,52,1.0,SY
PA_20_SY,Pantanal,11.0,57,57,1.0,SY
PA_20_SY,Pantanal,12.0,57,57,1.0,SY
PA_20_SY,Pantanal,13.0,56,56,1.0,SY
PA_20_SY,Pantanal,14.0,55,55,1.0,SY
PA_20_SY,Pantanal,15.0,54,54,1.0,SY
PA_20_SY,Pantanal,16.0,56,56,1.0,SY
PA_20_SY,Pantanal,17.0,58,58,1.0,SY
PA_20_SY,Pantanal,18.0,54,54,1.0,SY
PA_20_SY,Pantanal,19.0,57,57,1.0,SY
PA_20_SY,Pantanal,20.0,55,55,1.0,SY
PA_20_SY,Pantanal,21.0,57,57,1.0,SY
PA_20_SY,Pantanal,22.0,58,58,1.0,SY
PA_20_SY,Pantanal,23.0,55,55,1.0,SY
PA_21_CAIO,Pantanal,0.0,6,6,1.0,CAIO
PA_21_CAIO,Pantanal,1.0,10,9,1.1111111111111112,CAIO
PA_21_CAIO,Pantanal,2.0,6,6,1.0,CAIO
PA_21_CAIO,Pantanal,3.0,10,7,1.4285714285714286,CAIO
PA_21_CAIO,Pantanal,4.0,8,8,1.0,CAIO
PA_21_CAIO,Pantanal,5.0,9,9,1.0,CAIO
PA_21_CAIO,Pantanal,6.0,12,12,1.0,CAIO
PA_21_CAIO,Pantanal,7.0,11,11,1.0,CAIO
PA_21_CAIO,Pantanal,8.0,5,5,1.0,CAIO
PA_21_CAIO,Pantanal,9.0,7,7,1.0,CAIO
PA_21_CAIO,Pantanal,10.0,4,4,1.0,CAIO
PA_21_CAIO,Pantanal,11.0,1,1,1.0,CAIO
PA_21_CAIO,Pantanal,14.0,2,2,1.0,CAIO
PA_21_CAIO,Pantanal,16.0,4,4,1.0,CAIO
PA_21_CAIO,Pantanal,17.0,2,2,1.0,CAIO
PA_21_CAIO,Pantanal,18.0,20,20,1.0,CAIO
PA_21_CAIO,Pantanal,19.0,18,17,1.0588235294117647,CAIO
PA_21_CAIO,Pantanal,20.0,22,19,1.1578947368421053,CAIO
PA_21_CAIO,Pantanal,21.0,4,4,1.0,CAIO
PA_21_CAIO,Pantanal,22.0,12,9,1.3333333333333333,CAIO
PA_21_CAIO,Pantanal,23.0,9,8,1.125,CAIO
PA_22_EMILIO,Pantanal,0.0,3,2,1.5,EMILIO
PA_22_EMILIO,Pantanal,1.0,4,3,1.3333333333333333,EMILIO
PA_22_EMILIO,Pantanal,2.0,3,3,1.0,EMILIO
PA_22_EMILIO,Pantanal,3.0,5,4,1.25,EMILIO
PA_22_EMILIO,Pantanal,4.0,3,3,1.0,EMILIO
PA_22_EMILIO,Pantanal,5.0,2,2,1.0,EMILIO
PA_22_EMILIO,Pantanal,6.0,12,12,1.0,EMILIO
PA_22_EMILIO,Pantanal,7.0,3,3,1.0,EMILIO
PA_22_EMILIO,Pantanal,8.0,1,1,1.0,EMILIO
PA_22_EMILIO,Pantanal,9.0,1,1,1.0,EMILIO
PA_22_EMILIO,Pantanal,10.0,4,4,1.0,EMILIO
PA_22_EMILIO,Pantanal,17.0,2,2,1.0,EMILIO
PA_22_EMILIO,Pantanal,18.0,5,5,1.0,EMILIO
PA_22_EMILIO,Pantanal,19.0,6,5,1.2,EMILIO
PA_22_EMILIO,Pantanal,20.0,3,3,1.0,EMILIO
PA_22_EMILIO,Pantanal,21.0,4,4,1.0,EMILIO
PA_22_EMILIO,Pantanal,22.0,3,3,1.0,EMILIO
PA_22_EMILIO,Pantanal,23.0,3,2,1.5,EMILIO
PA_23_RICK,Pantanal,0.0,17,16,1.0625,RICK
PA_23_RICK,Pantanal,1.0,27,25,1.08,RICK
PA_23_RICK,Pantanal,2.0,25,24,1.0416666666666667,RICK
PA_23_RICK,Pantanal,3.0,26,25,1.04,RICK
PA_23_RICK,Pantanal,4.0,44,43,1.0232558139534884,RICK
PA_23_RICK,Pantanal,5.0,45,43,1.0465116279069768,RICK
PA_23_RICK,Pantanal,6.0,32,28,1.1428571428571428,RICK
PA_23_RICK,Pantanal,7.0,12,12,1.0,RICK
PA_23_RICK,Pantanal,8.0,7,7,1.0,RICK
PA_23_RICK,Pantanal,9.0,14,14,1.0,RICK
PA_23_RICK,Pantanal,10.0,8,8,1.0,RICK
PA_23_RICK,Pantanal,11.0,1,1,1.0,RICK
PA_23_RICK,Pantanal,12.0,1,1,1.0,RICK
PA_23_RICK,Pantanal,14.0,2,2,1.0,RICK
PA_23_RICK,Pantanal,15.0,1,1,1.0,RICK
PA_23_RICK,Pantanal,16.0,2,2,1.0,RICK
PA_23_RICK,Pantanal,17.0,18,18,1.0,RICK
PA_23_RICK,Pantanal,18.0,60,59,1.0169491525423728,RICK
PA_23_RICK,Pantanal,19.0,65,64,1.015625,RICK
PA_23_RICK,Pantanal,20.0,47,41,1.146341463414634,RICK
PA_23_RICK,Pantanal,21.0,35,35,1.0,RICK
PA_23_RICK,Pantanal,22.0,25,23,1.0869565217391304,RICK
PA_23_RICK,Pantanal,23.0,31,27,1.1481481481481481,RICK
PA_24_LESLIE,Pantanal,0.0,13,13,1.0,LESLIE
PA_24_LESLIE,Pantanal,1.0,17,16,1.0625,LESLIE
PA_24_LESLIE,Pantanal,2.0,17,16,1.0625,LESLIE
PA_24_LESLIE,Pantanal,3.0,18,17,1.0588235294117647,LESLIE
PA_24_LESLIE,Pantanal,4.0,23,23,1.0,LESLIE
PA_24_LESLIE,Pantanal,5.0,28,26,1.0769230769230769,LESLIE
PA_24_LESLIE,Pantanal,6.0,17,15,1.1333333333333333,LESLIE
PA_24_LESLIE,Pantanal,7.0,9,9,1.0,LESLIE
PA_24_LESLIE,Pantanal,8.0,6,6,1.0,LESLIE
PA_24_LESLIE,Pantanal,9.0,5,5,1.0,LESLIE
PA_24_LESLIE,Pantanal,10.0,5,5,1.0,LESLIE
PA_24_LESLIE,Pantanal,11.0,2,2,1.0,LESLIE
PA_24_LESLIE,Pantanal,15.0,1,1,1.0,LESLIE
PA_24_LESLIE,Pantanal,16.0,2,2,1.0,LESLIE
PA_24_LESLIE,Pantanal,17.0,12,12,1.0,LESLIE
PA_24_LESLIE,Pantanal,18.0,34,34,1.0,LESLIE
PA_24_LESLIE,Pantanal,19.0,35,34,1.0294117647058822,LESLIE
PA_24_LESLIE,Pantanal,20.0,34,33,1.0303030303030303,LESLIE
PA_24_LESLIE,Pantanal,21.0,26,26,1.0,LESLIE
PA_24_LESLIE,Pantanal,22.0,10,10,1.0,LESLIE
PA_24_LESLIE,Pantanal,23.0,19,18,1.0555555555555556,LESLIE
PA_26_SACHIN,Pantanal,0.0,13,13,1.0,SACHIN
PA_26_SACHIN,Pantanal,1.0,17,16,1.0625,SACHIN
PA_26_SACHIN,Pantanal,2.0,18,16,1.125,SACHIN
PA_26_SACHIN,Pantanal,3.0,16,15,1.0666666666666667,SACHIN
PA_26_SACHIN,Pantanal,4.0,18,18,1.0,SACHIN
PA_26_SACHIN,Pantanal,5.0,28,25,1.12,SACHIN
PA_26_SACHIN,Pantanal,6.0,27,26,1.0384615384615385,SACHIN
PA_26_SACHIN,Pantanal,7.0,20,20,1.0,SACHIN
PA_26_SACHIN,Pantanal,8.0,7,7,1.0,SACHIN
PA_26_SACHIN,Pantanal,9.0,8,8,1.0,SACHIN
PA_26_SACHIN,Pantanal,10.0,1,1,1.0,SACHIN
PA_26_SACHIN,Pantanal,14.0,1,1,1.0,SACHIN
PA_26_SACHIN,Pantanal,17.0,3,3,1.0,SACHIN
PA_26_SACHIN,Pantanal,18.0,36,36,1.0,SACHIN
PA_26_SACHIN,Pantanal,19.0,38,37,1.027027027027027,SACHIN
PA_26_SACHIN,Pantanal,20.0,24,21,1.1428571428571428,SACHIN
PA_26_SACHIN,Pantanal,21.0,13,13,1.0,SACHIN
PA_26_SACHIN,Pantanal,22.0,21,17,1.2352941176470589,SACHIN
PA_26_SACHIN,Pantanal,23.0,16,11,1.4545454545454546,SACHIN
PA_28_DUDA,Pantanal,0.0,479,479,1.0,DUDA
PA_28_DUDA,Pantanal,1.0,531,531,1.0,DUDA
PA_28_DUDA,Pantanal,2.0,485,485,1.0,DUDA
PA_28_DUDA,Pantanal,3.0,554,554,1.0,DUDA
PA_28_DUDA,Pantanal,4.0,471,471,1.0,DUDA
PA_28_DUDA,Pantanal,5.0,515,515,1.0,DUDA
PA_28_DUDA,Pantanal,6.0,483,483,1.0,DUDA
PA_28_DUDA,Pantanal,7.0,497,497,1.0,DUDA
PA_28_DUDA,Pantanal,8.0,499,499,1.0,DUDA
PA_28_DUDA,Pantanal,9.0,511,511,1.0,DUDA
PA_28_DUDA,Pantanal,10.0,467,467,1.0,DUDA
PA_28_DUDA,Pantanal,11.0,472,472,1.0,DUDA
PA_28_DUDA,Pantanal,12.0,435,435,1.0,DUDA
PA_28_DUDA,Pantanal,13.0,456,456,1.0,DUDA
PA_28_DUDA,Pantanal,14.0,423,423,1.0,DUDA
PA_28_DUDA,Pantanal,15.0,462,462,1.0,DUDA
PA_28_DUDA,Pantanal,16.0,456,456,1.0,DUDA
PA_28_DUDA,Pantanal,17.0,498,498,1.0,DUDA
PA_28_DUDA,Pantanal,18.0,492,492,1.0,DUDA
PA_28_DUDA,Pantanal,19.0,553,553,1.0,DUDA
PA_28_DUDA,Pantanal,20.0,467,467,1.0,DUDA
PA_28_DUDA,Pantanal,21.0,521,521,1.0,DUDA
PA_28_DUDA,Pantanal,22.0,499,499,1.0,DUDA
PA_28_DUDA,Pantanal,23.0,540,540,1.0,DUDA
PA_29_KARIN,Pantanal,0.0,7,7,1.0,KARIN
PA_29_KARIN,Pantanal,1.0,8,8,1.0,KARIN
PA_29_KARIN,Pantanal,2.0,9,8,1.125,KARIN
PA_29_KARIN,Pantanal,3.0,5,5,1.0,KARIN
PA_29_KARIN,Pantanal,4.0,8,8,1.0,KARIN
PA_29_KARIN,Pantanal,5.0,15,14,1.0714285714285714,KARIN
PA_29_KARIN,Pantanal,6.0,7,7,1.0,KARIN
PA_29_KARIN,Pantanal,7.0,4,4,1.0,KARIN
PA_29_KARIN,Pantanal,8.0,5,5,1.0,KARIN
PA_29_KARIN,Pantanal,9.0,12,12,1.0,KARIN
PA_29_KARIN,Pantanal,10.0,1,1,1.0,KARIN
PA_29_KARIN,Pantanal,12.0,1,1,1.0,KARIN
PA_29_KARIN,Pantanal,16.0,3,3,1.0,KARIN
PA_29_KARIN,Pantanal,17.0,5,5,1.0,KARIN
PA_29_KARIN,Pantanal,18.0,12,12,1.0,KARIN
PA_29_KARIN,Pantanal,19.0,14,12,1.1666666666666667,KARIN
PA_29_KARIN,Pantanal,20.0,13,10,1.3,KARIN
PA_29_KARIN,Pantanal,21.0,5,5,1.0,KARIN
PA_29_KARIN,Pantanal,22.0,10,10,1.0,KARIN
PA_29_KARIN,Pantanal,23.0,3,3,1.0,KARIN
PA_30_NELSAO,Pantanal,0.0,12,12,1.0,NELSAO
PA_30_NELSAO,Pantanal,1.0,11,11,1.0,NELSAO
PA_30_NELSAO,Pantanal,2.0,14,13,1.0769230769230769,NELSAO
PA_30_NELSAO,Pantanal,3.0,10,10,1.0,NELSAO
PA_30_NELSAO,Pantanal,4.0,28,27,1.037037037037037,NELSAO
PA_30_NELSAO,Pantanal,5.0,21,20,1.05,NELSAO
PA_30_NELSAO,Pantanal,6.0,8,8,1.0,NELSAO
PA_30_NELSAO,Pantanal,7.0,4,4,1.0,NELSAO
PA_30_NELSAO,Pantanal,8.0,8,8,1.0,NELSAO
PA_30_NELSAO,Pantanal,9.0,3,3,1.0,NELSAO
PA_30_NELSAO,Pantanal,10.0,1,1,1.0,NELSAO
PA_30_NELSAO,Pantanal,16.0,4,4,1.0,NELSAO
PA_30_NELSAO,Pantanal,17.0,17,17,1.0,NELSAO
PA_30_NELSAO,Pantanal,18.0,34,33,1.0303030303030303,NELSAO
PA_30_NELSAO,Pantanal,19.0,33,33,1.0,NELSAO
PA_30_NELSAO,Pantanal,20.0,33,31,1.064516129032258,NELSAO
PA_30_NELSAO,Pantanal,21.0,24,24,1.0,NELSAO
PA_30_NELSAO,Pantanal,22.0,11,11,1.0,NELSAO
PA_30_NELSAO,Pantanal,23.0,17,15,1.1333333333333333,NELSAO
PA_31_JORDANO,Pantanal,0.0,17,17,1.0,JORDANO
