hour,Biome,individual_local_identifier,count,radian,individual_name
15,Cerrado,CE_09_PANA,1,3.926990816987241,PANA
15,Cerrado,CE_10_ELIS,1,3.926990816987241,ELIS
15,Cerrado,CE_11_ZACA,104,3.926990816987241,ZACA
15,Cerrado,CE_13_SULI,45,3.926990816987241,SULI
15,Cerrado,CE_15_KURUKA,65,3.926990816987241,KURUKA
15,Cerrado,CE_17_ARNO,231,3.926990816987241,ARNO
15,Cerrado,CE_21_ZEMARIA,329,3.926990816987241,ZEMARIA
15,Cerrado,CE_22_ZEFA,80,3.926990816987241,ZEFA
15,Cerrado,CE_23_CARABI,413,3.926990816987241,CARABI
15,Cerrado,CE_25_SEGRE,426,3.926990816987241,SEGRE
15,Cerrado,CE_27_DONALINA,29,3.926990816987241,DONALINA
15,Cerrado,CE_28_ZIGGY,383,3.926990816987241,ZIGGY
15,Cerrado,CE_31_ANNA,420,3.926990816987241,ANNA
15,Cerrado,CE_34_DONACIDA,347,3.926990816987241,DONACIDA
15,Pantanal,PA_03_BANDAID,1,3.926990816987241,BANDAID
15,Pantanal,PA_05_KELLY,1,3.926990816987241,KELLY
15,Pantanal,PA_08_BENJAMIN,3,3.926990816987241,BENJAMIN
15,Pantanal,PA_09_SONIAMADALENA,29,3.926990816987241,SONIAMADALENA
15,Pantanal,PA_10_VIVEK,4,3.926990816987241,VIVEK
15,Pantanal,PA_11_LUIS,2,3.926990816987241,LUIS
15,Pantanal,PA_12_FELIPPE,1,3.926990816987241,FELIPPE
15,Pantanal,PA_13_RITA,23,3.926990816987241,RITA
15,Pantanal,PA_15_MORENA,205,3.926990816987241,MORENA
15,Pantanal,PA_16_DORA,1,3.926990816987241,DORA
15,Pantanal,PA_19_SERGIAO,467,3.926990816987241,SERGIAO
15,Pantanal,PA_20_SY,54,3.926990816987241,SY
15,Pantanal,PA_23_RICK,1,3.926990816987241,RICK
15,Pantanal,PA_24_LESLIE,1,3.926990816987241,LESLIE
15,Pantanal,PA_28_DUDA,462,3.926990816987241,DUDA
15,Pantanal,PA_31_JORDANO,5,3.926990816987241,JORDANO
15,Pantanal,PA_33_GABRIELA,36,3.926990816987241,GABRIELA
15,Pantanal,PA_34_CARIJO,459,3.926990816987241,CARIJO
15,Pantanal,PA_36_MICHELE,53,3.926990816987241,MICHELE
15,Pantanal,PA_40_MALU,433,3.926990816987241,MALU
15,Pantanal,PA_47_MORENINHO,356,3.926990816987241,MORENINHO
15,Pantanal,PA_48_TED,23,3.926990816987241,TED
15,Pantanal,PA_49_WALLY,403,3.926990816987241,WALLY
15,Pantanal,PA_51_MUCCI,175,3.926990816987241,MUCCI
15,Pantanal,PA_52_WIE,56,3.926990816987241,WIE
15,Pantanal,PA_54_PAULONA,489,3.926990816987241,PAULONA
