individual,hour,distance_meters,distance_km,num_points,distance_per_point
AF_20_CHICO,4,40850.0148286578,40.8500148286578,40,1021.2503707164449
AF_20_CHICO,5,39474.31575680354,39.47431575680354,43,918.0073431814776
AF_20_CHICO,6,42623.91221516067,42.62391221516067,54,789.3317076881606
AF_20_CHICO,7,33798.54364186824,33.798543641868235,38,889.4353589965325
AF_20_CHICO,8,18443.033947863736,18.443033947863736,23,801.8710412114668
AF_20_CHICO,9,4453.901096063718,4.453901096063718,8,556.7376370079647
AF_20_CHICO,13,0.0,0.0,1,0.0
AF_20_CHICO,14,0.0,0.0,1,0.0
AF_20_CHICO,15,1341.9602981964954,1.3419602981964953,5,268.3920596392991
AF_20_CHICO,16,2006.2115944004895,2.0062115944004897,7,286.6016563429271
AF_20_CHICO,17,19906.985694068655,19.906985694068656,10,1990.6985694068655
AF_20_CHICO,18,36620.05456368407,36.62005456368407,34,1077.0604283436492
AF_20_CHICO,19,50965.318177126435,50.965318177126434,37,1377.441031814228
AF_20_CHICO,20,29799.75469499261,29.79975469499261,27,1103.6946183330597
AF_20_CHICO,21,23544.956489659446,23.544956489659445,27,872.0354255429424
AF_20_CHICO,22,25455.805934706084,25.455805934706085,15,1697.0537289804056
AF_20_CHICO,23,24227.79848625554,24.227798486255537,17,1425.1646168385612
AF_23_TONHA,0,5535.835398555735,5.535835398555735,13,425.833492196595
AF_23_TONHA,1,10248.517809570101,10.248517809570101,11,931.6834372336456
AF_23_TONHA,2,5527.136532967144,5.527136532967145,13,425.16434868978035
AF_23_TONHA,3,8701.805908537897,8.701805908537898,14,621.557564895564
AF_23_TONHA,4,28495.193970186512,28.495193970186513,63,452.3046661934367
AF_23_TONHA,5,29499.800922250128,29.499800922250127,53,556.6000174009458
AF_23_TONHA,6,22369.873599295774,22.369873599295772,44,508.406218165813
AF_23_TONHA,7,11135.830859936375,11.135830859936375,24,463.992952497349
AF_23_TONHA,8,4618.654769671949,4.618654769671949,5,923.7309539343898
AF_23_TONHA,9,0.0,0.0,1,0.0
AF_23_TONHA,11,0.0,0.0,1,0.0
AF_23_TONHA,15,1308.3867708394046,1.3083867708394046,2,654.1933854197023
AF_23_TONHA,16,2044.5142671014034,2.0445142671014036,5,408.9028534202807
AF_23_TONHA,17,3452.679448943587,3.452679448943587,9,383.6310498826208
AF_23_TONHA,18,28641.835798831806,28.641835798831806,57,502.48834734792644
AF_23_TONHA,19,41556.303156151764,41.55630315615176,87,477.65865696726166
AF_23_TONHA,20,28126.540497235503,28.126540497235503,54,520.8618610599167
AF_23_TONHA,21,27364.83745635541,27.36483745635541,44,621.9281240080775
AF_23_TONHA,22,12584.126857645106,12.584126857645106,17,740.242756332065
AF_23_TONHA,23,10136.171823165556,10.136171823165556,18,563.1206568425309
AF_24_TINA,0,6837.685490319701,6.837685490319701,10,683.7685490319701
AF_24_TINA,1,4347.799941106413,4.3477999411064125,9,483.088882345157
AF_24_TINA,2,5483.341290208251,5.483341290208251,8,685.4176612760314
AF_24_TINA,3,8473.200987943035,8.473200987943034,10,847.3200987943035
AF_24_TINA,4,28470.281191328435,28.470281191328436,42,677.8638378887723
AF_24_TINA,5,29183.931471775333,29.183931471775335,52,561.2294513802949
AF_24_TINA,6,24899.179654872372,24.899179654872373,40,622.4794913718093
AF_24_TINA,7,5836.861761604828,5.836861761604828,9,648.5401957338697
AF_24_TINA,17,4353.890636223299,4.3538906362233,9,483.76562624703325
AF_24_TINA,18,29182.976508067728,29.18297650806773,56,521.1245805012094
AF_24_TINA,19,44978.8161490612,44.978816149061196,80,562.2352018632649
AF_24_TINA,20,32424.402676670597,32.424402676670596,60,540.4067112778433
AF_24_TINA,21,20040.21502015735,20.04021502015735,27,742.2301859317537
AF_24_TINA,22,11802.182529067994,11.802182529067993,21,562.0086918603806
AF_24_TINA,23,5286.205706391836,5.286205706391836,15,352.4137137594558
AF_25_MAMA,0,1988.8887851745692,1.9888887851745691,5,397.77775703491386
AF_25_MAMA,1,268.88197968204963,0.26888197968204963,2,134.44098984102482
AF_25_MAMA,2,224.39397384751635,0.22439397384751636,2,112.19698692375817
AF_25_MAMA,3,1271.9867837089687,1.2719867837089687,3,423.99559456965625
AF_25_MAMA,4,10347.743935109513,10.347743935109513,19,544.6181018478691
AF_25_MAMA,5,10900.628870321934,10.900628870321935,25,436.02515481287736
AF_25_MAMA,6,9761.609899620995,9.761609899620995,22,443.7095408918634
AF_25_MAMA,7,1415.4766828449258,1.415476682844926,5,283.09533656898515
AF_25_MAMA,8,2797.270476937755,2.797270476937755,7,399.610068133965
AF_25_MAMA,9,0.0,0.0,1,0.0
AF_25_MAMA,15,563.1999535482613,0.5631999535482614,2,281.59997677413065
AF_25_MAMA,16,702.4539197027133,0.7024539197027133,2,351.22695985135664
AF_25_MAMA,17,4178.524628663122,4.178524628663122,10,417.8524628663122
AF_25_MAMA,18,18065.606876227987,18.065606876227985,37,488.2596453034591
AF_25_MAMA,19,20728.2054336958,20.7282054336958,40,518.205135842395
AF_25_MAMA,20,7751.932953489456,7.751932953489456,22,352.3605887949753
AF_25_MAMA,21,4612.074061385932,4.612074061385932,12,384.3395051154943
AF_25_MAMA,22,3913.9621244671794,3.9139621244671794,9,434.88468049635327
AF_25_MAMA,23,2400.0301088912215,2.4000301088912215,5,480.0060217782443
CE_03_LOU,0,620861.8254794178,620.8618254794178,494,1256.8053147356636
CE_03_LOU,1,630777.0162659049,630.7770162659049,503,1254.0298534113417
CE_03_LOU,2,626598.158551539,626.598158551539,498,1258.2292340392348
CE_03_LOU,3,631452.1987781314,631.4521987781314,512,1233.3050757385379
CE_03_LOU,4,589121.3248437488,589.1213248437488,495,1190.1440905934319
CE_03_LOU,5,480865.7634081669,480.86576340816686,484,993.5243045623282
CE_03_LOU,6,385809.0151306146,385.8090151306146,464,831.4849464021867
CE_03_LOU,7,377777.4606947129,377.7774606947129,478,790.3294156793156
CE_03_LOU,8,359640.0677357144,359.64006773571435,481,747.6924485149987
CE_03_LOU,9,350678.29236542556,350.67829236542553,478,733.636594906748
CE_03_LOU,10,339401.68436701543,339.40168436701543,475,714.5298618252956
