,distance_meters,distance_meters,distance_meters,distance_meters,distance_meters,num_points
,sum,mean,std,min,max,sum
individual,,,,,,
PA_40_MALU,11535308.790507399,480637.8662711416,140188.11879626737,328998.7725044119,667878.0163121851,11842
PA_47_MORENINHO,4985841.406681945,207743.39194508104,48175.225670014624,156172.98316038842,301230.3950434851,8234
PA_48_TED,272575.10732461663,11357.296138525693,2165.688910297805,6889.698286890459,15536.492345457147,505
PA_49_WALLY,14780759.903135195,615864.9959639665,137843.74474603412,465270.5581997244,812607.1621432845,10289
PA_51_MUCCI,2089760.0360635442,87073.334835981,36110.93703014042,46455.587303253255,146450.73672009254,4585
PA_52_WIE,1636403.879324023,68183.49497183428,16101.363247183082,42662.198525798725,95588.46042833457,1601
PA_54_PAULONA,13780060.51493237,574169.188122182,130410.63113096476,447023.5080258489,753785.4423768255,12533
PA_58_LIANA,4063793.834765772,169324.7431152405,53354.33239040333,101899.34643504953,253664.2789747118,6875
PA_59_POPEYE,2840233.59701722,118343.06654238417,59227.26934583393,47620.13271275105,220218.04882083397,3738
PA_61_DOINHO,1680792.3308510566,70033.01378546069,10675.866636152597,47364.05278577816,85925.34748627189,2353
PA_62_PRETINHO,231202.12170519092,9633.421737716288,3400.079510628309,4108.670904428658,15959.122998868197,467
PA_64_COLUMBUS,55881.642487631514,2328.4017703179798,1311.9031780158582,398.093653987379,5184.828539102716,129
PA_65_VALENTINA,1240124.9986252273,51671.874942717805,8195.109356083949,38201.06689403681,66638.87762785469,1999
PA_67_CARMINHA,256127.76500875683,10671.990208698202,4831.64838558496,4905.0323753496195,20334.59858469341,698
PA_68_FAROFO,5971450.626736788,248810.4427806995,67836.28476340052,159298.99057359944,367945.94136658043,7378
PA_69_ANGELINA,2746534.5469751465,114438.93945729778,29200.461712592474,74669.88044249645,158252.22733069523,3169
PA_71_SIDNEY,1282219.5703886836,53425.81543286182,26964.92018865929,21749.999174826025,102411.9240538702,2270
PA_74_LAURO,2225505.4891371885,92729.39538071619,23382.89383406244,66464.48438247757,141163.6834867283,3468
PA_82_DONNA,298991.3800300718,12457.97416791966,4055.350782898225,7393.520444430839,26020.70274328017,823
PA_86_CUZINHO,4647910.875476704,193662.95314486267,64321.267933980525,121268.5143650144,284707.17820711207,6799
